Rt. No.,Source,Destination,Zone,Outbound,Inbound,Route Description
45KU,Town,KU,Thika Rd,21.4,20.9,"CBD to Ruiru Bypass via Thika Road, Kahawa Wendani, KU, Unicity Mall and Northlands"
46,Town,Kawangware,Ngong Rd,11.3,10.7,"CBD to Kawangware via Valley Road, Nairobi Hospital, Hurlingham, Yaya Centre, Kilimani, Valley Arcade and Congo Estate"
46H,Town,Huruma,Juja Rd,8.4,8.0,Odeon to Jonsaga Flats via Juja Road and Huruma
47A,Town,Kahawa Sukari,Thika Rd,17.4,16.9,"Odeon to Shell Kahawa Sukari via Thika Road, Kahawa Barracks and Kahawa Wendani"
47B,Town,Mwihoko,Thika Rd,21.3,21.0,"Odeon to Mwihoko via Thika Road, Kahawa Sukari Avenue, Felma and Kiu Kenda"
48,Town,Kileleshwa,Waiyaki Way,8.0,8.7,"Odeon to Othaya Road via Chiromo, Kileleshwa Police, Kenya High and Gatundu Road"
48A,Town,Lavington,Waiyaki Way,8.8,9.0,"Odeon to Lavington Green via Chiromo, Prime Bank, Riverside and James Gichuru Avenue"
49,Town,Warren,Thika Rd,14.4,14.2,"Odeon to Clay City via Thika Road, Roysambu, Kasarani, Seasons Road and PCEA"
53,Town,Marurui,Thika Rd,12.5,12.4,"Odeon to Marurui via Thika Road, Roasters and Thome"
56,Town,Macharia Rd,Ngong Rd,10.4,10.9,"Railways to Gatina via Hurlingham, Kilimani, Congo Estate and Kawangware"
58,Town,Buruburu,Jogoo-Outering,9.4,9.3,Odeon to Mesora Centre via Jogoo Road and Buruburu 5 to 2
69/73,Town,Kwa Njenga,Mombasa Rd,12.8,16.3,"Bus Station to Mukuru kwa Njenga via Enterprise Road, Industrial Area, GM, Imara Daima and Mastermind"
70/71,Muthurwa,Donholm,Jogoo-Outering,7.2,7.1,"City Stadium to Sinai via Rikana, Likoni Road and Lunga Lunga Road"
100,Town,Kiambu,Thika Rd,16.1,16.1,"Odeon to Kiambu Town via Kiambu Road, DCI, Karura Forest, Ridgeways, Fourways, Thindigua, KIST and Edenville"
100A,Town,Kirigiti,Thika Rd,14.9,15.0,"Odeon to Kirigiti via Kiambu Road, Ridgeways, Fourways, Thindigua and KIST"
100/237,Kiambu,Thika,Outer North,37.7,38.6,"Kiambu Town to Thika via Tatu City, Ruiru and Juja"
101,Kiambu,Limuru,Outer North,28.3,28.2,Kiambu Town to Limuru via Riara Ridge and Ndumberi
102,Town,Kikuyu,Ngong Rd,22.9,23.7,"Railways to Kikuyu via Ngong Road, Naivasha Road, Dagoretti, Thogoto, Kikuyu Hospital and Alliance"
103,Dagoretti Junction,Wangige,Outer West,20.3,20.4,"Junction Mall to Wangige via Naivasha Road, Uthiru and Gitaru"
104,Town,Nazareth Hospital,Limuru Rd,23.8,24.3,"Khoja to Nazareth Hospital via Limuru Road, Banana, Raini, Kawaida and Nduota"
105,Town,Kikuyu,Waiyaki Way,22.3,22.0,"Odeon to Kikuyu via Waiyaki Way, Uthiru, Cooperation, 87, Kinoo, Regen, Muthiga and Gitaru"
106,Town,Banana,Limuru Rd,17.2,17.9,"Khoja to Banana via Limuru Road, Village Market, Rosslyn, Ruaka and Muchatha"
107,Town,Ndenderu,Limuru Rd,18.5,22.5,"Khoja to Karura via Limuru Road, Village Market, Rosslyn, Ruaka, Joyland and Ndenderu Roundabout"
107D,Town,Ndenderu,Thika Rd,21.3,24.6,"Khoja to Karura via Kiambu Road, Northern Bypass, Githogoro, Runda, Two Rivers, Joyland and Ndenderu Roundabout"
108,Town,Gachie,Limuru Rd,18.3,20.6,"Odeon to Kihara via Limuru Road, Karura Forest, UNEP, Gigiri, Hospital Hill, CUE, Redhill Road and Gachie"
110,Town,Kitengela,Mombasa Rd,31.7,31.6,"Railways to Kitengela via Mombasa Road, Syokimau, Mlolongo and EPZ"
110A,Town,Athi River,Mombasa Rd,29.7,30.1,"Railways to Athi River via Mombasa Road, Syokimau, Mlolongo, Devki, KMC and East Africa Portland"
111,Town,Ngong,Ngong Rd,22.4,23.1,"Railways to Ngong via Ngong Road, Lenana, Karen Centre, Kerarapon, Bulbul and Ngong Vet"
111/126,Ngong,Kiserian,Outer South,10.0,10.0,Ngong Town to Kiserian via Bondeni and Matasia
112,Town,Gikambura,Waiyaki Way,38.1,38.6,"Odeon to Lusingeti via Waiyaki Way, Kikuyu, Thogoto and Gikambura"
113,Town,Kwa Magu,Waiyaki Way,19.0,21.8,Khoja to Muthure via Lower Kabete Road and Western Bypass
114,Town,Limuru,Limuru Rd,33.8,34.4,"Khoja to Limuru via Limuru Road, Ruaka, Ndenderu and Kabuku - St Paul's"
115,Town,Limuru,Waiyaki Way,38.2,36.3,"Khoja to Limuru via Waiyaki Way, Gitaru, Zambezi, Muguga, Eka 5, Rironi and Kwambira"
116,Town,Limuru,Limuru Rd,34.3,34.8,"Khoja to Limuru via Limuru Road, Ruaka, Banana and Tigoni"
117,Town,Katani,Mombasa Rd,21.0,22.3,"Bus Station to Katani Road via Mombasa Road, Cabanas, Gateway Mall, Nation and Syokimau"
118,Town,Wangige,Waiyaki Way,17.4,16.9,"Khoja to Wangige via Sarit, Spring Valley, Lower Kabete Road, UoN Lower Kabete, Lower Kabete and Kingeero"
119,Town,Wangige,Waiyaki Way,17.2,16.2,"Khoja to Wangige via Sarit, Peponi Road, Thigiri Ridge, Kitisuru, Mwimuto and Kibichiku"
119A,Town,Gathiga,Waiyaki Way,14.3,13.3,"Khoja to Gathiga via Sarit, Peponi Road, APHRC and Kirawa"
120,Town,Githunguri,Thika Rd,35.0,34.6,"Bus Station to Githunguri via Kiambu Road, Kiambu Town and Ndumberi"
122,Town,Githiga,Thika Rd,31.0,30.7,"Bus Station to Githiga via Kiambu Road, Kiambu Town and Kamondo"
125,Town,Ongata Rongai,Langata Rd,18.5,18.8,"Railways to Tuskys via Langata Road, KWS, Galleria, Magadi Road, CUEA, MMU, Masai Lodge and Gataka Road"
126,Town,Kiserian,Langata Rd,27.8,28.0,"Railways to Kiserian via Langata Road, Magadi Road, Exciting, Laiser Hill, Rimpa and Nkoroi"
129,Kikuyu,Ndenderu,Outer West,12.3,12.6,Kikuyu to Ndenderu via Gitaru and Wangige
130,Kikuyu,Limuru,Outer West,18.4,18.0,"Kikuyu to Limuru via Muguga, Zambezi, 5 Acres and Rironi"
131,Town,Nderi,Waiyaki Way,28.3,27.3,Khoja to KARI via Waiyaki Way and Zambezi
134,Town,Namanga,Mombasa Rd,164,163,OTC to Namanga border via Isinya and Kajiado Town
144,Town,Ruiru,Thika Rd,30.2,30.4,"Odeon to Ruiru Town via Thika Road, Northern Bypass, Membley, OJ, BTL and Ruiru Prisons"
145,Town,Ruiru,Thika Rd,23.5,23.9,"Town to Ruiru Town via Thika Road, KU, Bypass and Kihunguro"
146,Town,Gatundu,Thika Rd,49.6,49.4,Bus Station to Gatundu via Thika Road and Kenyatta Road
148,Town,Kiganjo,Thika Rd,48.1,47.6,"Bus Station to Kiganjo via Thika Road, Ruiru Kimbo and Mukuyuni"
160,Town,Kibichoi,Thika Rd,37.6,37.2,"Bus Station to Kibichoi via Kiambu Road, Kiambu Town and St. Anne's Lioki"
201/202,Town,Kangundo,Juja Rd,67.9,66.7,"Bus Station to Kangundo via Kangundo Road, Mutalia, Nguluni and Tala"
230,Town,Juja Farm,Thika Rd,42.3,42.2,Ambassadeur to Juja Farm via Thika Road and Juja Town
236,Town,Juja,Thika Rd,32.2,32.1,"Town to JKUAT via Thika Road, Ruiru, Toll, Kenyatta Road and Juja Town"
237,Town,Thika,Thika Rd,44.1,43.4,"Town to Thika Town via Thika Road, Ruiru, Juja, Witeithie and Jomoko"
238,Town,Makongeni,Thika Rd,49.1,48.3,"Town to Makongeni via Thika Road, Garissa Road, Thika Town, Bidco and Gretsa University"
